Prompt,Prompt_Type,Prompt_Length,Response
Where do you see yourself in 5 years?,Question,37,"In 5 years, I see myself advancing in my career and possibly settling down with a family."
Summarize the plot of Romeo and Juliet.,Command,39,Romeo and Juliet is a tragedy by William Shakespeare that tells the story of two young star-crossed lovers whose deaths ultimately reconcile their feuding families.
I'm feeling sad today.,Open-ended,22,"I'm sorry to hear that you're feeling down. It's okay to have off days, and it's important to take time to care for yourself."
Why do you think education is important?,Question,40,I believe education is important because it empowers individuals and contributes to societal progress.
List the ingredients for making pizza.,Command,38,"To make pizza, you'll need dough, tomato sauce, cheese, and your choice of toppings like pepperoni, mushrooms, and bell peppers."
I don't understand calculus.,Open-ended,28,"Calculus can be challenging, but with the right resources and dedication, you can certainly grasp it."
Why do you think education is important?,Question,40,I believe education is important because it empowers individuals and contributes to societal progress.
Describe the process of photosynthesis.,Command,39,"Photosynthesis is the process by which green plants convert carbon dioxide and water into glucose and oxygen, using sunlight."
I don't understand calculus.,Open-ended,28,"Calculus can be challenging, but with the right resources and dedication, you can certainly grasp it."
What are the benefits of exercise?,Question,34,"Exercise helps improve physical health, boosts mental well-being, and enhances cognitive function."
Describe the process of photosynthesis.,Command,39,"Photosynthesis is the process by which green plants convert carbon dioxide and water into glucose and oxygen, using sunlight."
I don't understand calculus.,Open-ended,28,"Calculus can be challenging, but with the right resources and dedication, you can certainly grasp it."
What are the benefits of exercise?,Question,34,"Exercise helps improve physical health, boosts mental well-being, and enhances cognitive function."
Explain quantum mechanics.,Command,26,"Quantum mechanics is a branch of physics that deals with systems on a very small scale, typically atomic and subatomic particles."
The weather is really nice.,Open-ended,27,That's great to hear! Good weather can really lift your spirits.
Where do you see yourself in 5 years?,Question,37,"In 5 years, I see myself advancing in my career and possibly settling down with a family."
Tell me a joke.,Command,15,Why did the scarecrow win an award? Because he was outstanding in his field!
The weather is really nice.,Open-ended,27,That's great to hear! Good weather can really lift your spirits.
Why do you think education is important?,Question,40,I believe education is important because it empowers individuals and contributes to societal progress.
Summarize the plot of Romeo and Juliet.,Command,39,Romeo and Juliet is a tragedy by William Shakespeare that tells the story of two young star-crossed lovers whose deaths ultimately reconcile their feuding families.
